Cell_types,J1798_P28_Baseline,J1798_P42_C1D1,J1798_P28_C1D1,J1798_P41_Baseline,J1798_P41_C1D1,J1798_P7_Baseline,J1798_P7_C1D1,J1798_P19_Baseline,J1798_P19_C1D1,J1798_P42_Baseline,J1798_P8_Baseline,J1798_P38_C2D1,J1798_P8_C1D1,J1798_P5_Baseline,J1798_P5_C1D1,J1798_P5_C2D1,J1798_P1_Baseline,J1798_P1_C1D1,J1798_P38_Baseline,J1798_P38_C1D1,J1798_P27_Baseline,J1798_P24_C1D1,J1798_P27_C1D1,J1798_P9_Baseline,J1798_P9_C1D1,J1798_P40_Baseline,J1798_P40_C1D1,J1798_P30_Baseline,J1798_P30_C1D1,J1798_P24_Baseline,J1798_P34_Baseline,J1798_P6_C1D1,J1798_P34_C1D1,J1798_P3_Baseline,J1798_P3_C1D1,J1798_P18_Baseline,J1798_P18_C1D1,J1798_P33_Baseline,J1798_P33_C1D1,J1798_P6_Baseline,J1798_P44_Baseline,J1798_P22_C2D1,J1798_P44_C1D1,J1798_P44_C2D1,J1798_P14_Baseline,J1798_P14_C1D1,J1798_P26_Baseline,J1798_P26_C1D1,J1798_P22_Baseline,J1798_P22_C1D1,J1798_P15_Baseline,J1798_P39_C2D1,J1798_P15_C1D1,J1798_P15_C2D1,J1798_P12_Baseline,J1798_P12_C1D1,J1798_P12_C2D1,J1798_P39_Baseline,J1798_P39_C1D1,J1798_P21_Baseline,J1798_P21_C1D1,J1798_P25_Baseline,J1798_P25_C1D1,J1798_P25_C2D1
B,10.2077539669557,5.08399357811338,5.66352688684869,4.62278887153291,1.9280205655527,2.73176099693662,1.51962212063267,5.47770139256126,4.43759753511264,5.615837117864,2.92988833692992,2.2288599672854,3.03995272643708,3.85047428856715,2.08443194468858,1.02873409337523,5.4531395864176,3.58497861337329,4.98525939277082,4.27752133165478,6.44510195187963,0.804447982246665,4.37772970325319,8.31771715109141,6.35715474671253,4.6231320816684,2.71985110612918,1.53204897594621,0.875461110822466,1.04548318592332,5.098176309503,8.81085161824514,4.23608100575958,2.08114640041013,2.5423161838496,2.98255073032056,2.80329676098483,5.60064741865613,5.69516885306359,14.3352880047506,3.70545262631594,2.11317768104472,2.26819594811877,1.05619567414595,1.58388652236902,1.00922983809956,3.86149280813503,4.79216072307486,3.81326044789279,1.66752053413542,2.68745642390822,5.5502014377123,2.66493538613739,0.86462132589573,3.96860490824674,4.06146429647484,2.23838602780267,12.473037747154,7.20623161832568,8.69148158334284,5.79169193922145,7.00426282522417,6.2583724935678,6.0130152717895
cDC1,6.32668084410273,1.45275605967656,4.21021951962694,2.75995271668004,5.35745944508466,4.77649228206882,4.82733293654311,1.17111757447559,1.38049697891241,1.36852692858667,1.89870667805987,0.970059028518598,2.3489051574144,1.12227492095191,1.50436514911818,2.9311875537267,1.82179935690106,1.28803073874483,0.656690559025303,0.444817456986991,3.01383059244478,1.58356851677642,1.67761949467325,2.30947180686767,2.75758752704877,2.01215173244294,2.12342963495622,0.987458287330513,0.944735976169446,0.934633964201536,7.78418691370972,1.16650025570465,2.0313370904812,1.12418524033884,1.84384826386566,1.06362121360651,1.37277547377815,1.36148335039155,1.15641957747221,0.862900831353919,2.19438348934752,2.90462999604274,1.43209347196913,1.80749275655279,1.40657772396047,2.25601452564685,1.21155990700663,1.32742702880069,1.59436901193205,3.02103819266555,0.751093363757368,1.48510940832609,0.40035862239535,1.12422226989916,1.07229714791068,0.807472130159687,0.508534628290365,1.1983223487118,1.49637596446107,1.23694466617922,0.696744894943934,1.37868097408006,2.31612409364435,5.38743603175243
cDC2,0.850646163912972,0.883662041690053,0.529920644383504,0.692362899480728,0.356794610406879,0.514528745204176,0.382438233692555,0.122289793759915,0.671241646992917,1.36090706818251,0.19841557200168,0.264561553232345,0.154295656741407,1.22524546513563,0.7851409152165,1.28803145389721,0.366811568237324,1.16116091926246,0.786631456874991,0.58749475451112,1.38305924447808,0.0615095158839279,0.657169680395118,1.31305168202437,1.24979193253066,0.595544364770923,0.471638255572945,0.7356316135515,0.419112935349232,0.33254766516534,1.10703257006351,0.448091956262329,0.961995004231952,0.928887044405927,0.570014049642069,1.20037251249877,1.18641398498609,1.82562540166139,1.20646962752226,1.36950712589074,2.45687619788339,1.17728531855956,2.34108693321899,0.982076679469038,1.08980041948667,0.87456498713875,0.523560209424084,0.250570495324176,0.997766413918768,0.96184038738039,1.96488559295177,2.42673196934987,1.45458480183021,1.18429521561897,1.43709927039576,1.06256904690168,0.835747483378838,2.35470341521869,2.32701229341767,0.903559905283847,0.570770929563446,2.13447498652555,0.826617618915988,1.71455050973123
DNT,0.687060363160478,6.64900212757626,0.421286912284885,1.1894710178579,0.841015867387643,0.541296136573179,0.392569047830106,0.870350784417416,0.664239126085391,6.77253192721509,2.908164004229,0.386885712253752,2.36696103213946,3.43443168580463,3.36028593191539,2.23925818407294,0.647813746475686,0.489355018003432,0.262676223610121,0.327318506084767,0.431202550517214,0.493282196010324,0.381648230540022,0.345063778642232,0.588137380014426,0.189391866002518,0.234761642908506,0.441627073228219,0.278831333021596,0.920631957247205,0.367068694284216,0.767113946862139,0.322041246051898,3.25537680345678,2.12350304408911,2.00862660523478,2.24814950916059,1.32578011567848,1.62267530688583,0.610525534441805,0.537485069859171,0.672734467748318,0.480222960660307,0.276261707432114,2.79693817977382,1.18474807081253,2.60457028370537,0.727847629274986,1.05801445953095,0.662711332198516,0.294732838942765,0.908444584880322,0.19013170098312,0.167346063076593,0.183506522219766,0.267148739580195,0.178195535732894,1.01108448172558,0.849094914044522,0.646645693165277,0.469680710430955,0.554902249007791,0.571455910183079,0.626586614014587
Early Myelocyte,8.8295435956159,4.97826739587276,4.90441556376933,5.3235952210073,4.05992376562362,4.63968117062725,3.15574860384718,6.75678653269875,4.11448121323677,4.77308055716419,7.84393239387663,3.55024535950501,8.44194215554315,3.86295556665002,3.69133415362981,3.16089119375432,10.7044856622882,6.47398564558614,2.92436880859566,3.22422716463841,6.24096882956031,3.68092240152447,5.84105473692804,3.56695141967251,4.12805859179937,3.33461054244896,3.54680428069879,4.54776643386138,2.79870456001801,4.33128748453945,6.83446949833945,5.1749750383557,3.51561693606656,8.21961282132656,6.4788920853683,6.80178413880992,5.72602236337865,3.17282745816771,5.84531900321374,5.77865201900238,7.57478958917808,7.04590423426989,5.91060135062708,4.52294319789772,8.25891409172487,4.37887728854592,4.1279981854953,1.47508464211672,7.67501322518074,5.51488208365698,2.22158838815998,5.16470495299787,1.87040128609411,2.45869984981764,7.06389564448375,6.65461484382846,4.6695566995269,7.01617735170761,5.3234559393574,7.16005822494416,8.67587365277843,5.95264344161889,5.58272555231878,12.8208486118387
Granulocytes,0.0327171601504989,0.0430736298017308,0.0317952386630102,0.0327183687254612,0.0365659072777236,0.0594830919311186,0.0316587941798473,0.048475233562489,0.0390140450562202,0.0502910786674388,0.0463452430952829,0.029869852784297,0.0279045336659991,0.040564153769346,0.0483388996308666,0.0310029452798016,0.0311176908787447,0.0253739638964742,0.0405192047058166,0.04895789620926,0.0596343952842955,0.0325638613503148,0.0673496877423568,0.0271398477583778,0.0360650280197525,0.045979528162461,0.0380694556067848,0.0471399684906526,0.0476264699260491,0.0618421973816247,0.431160053603682,0.263010496067019,0.183728659606532,0.30637404486976,0.331839165049843,0.295069110871483,0.224421229460864,0.273724799466832,0.405668826721458,0.230106888361045,0.00972195216799533,0.0118717847249703,0.0128631150176868,0.00673809042517351,0.0129738145176984,0.0105916174912997,0.00756043623717088,0.0149149104359628,0.0191030388526421,0.00991588028227206,0.00633834062242505,0.00315980725175764,0.017003648055401,0.00429092469427161,0.00221092195445501,0,0.00625247493799629,0.00748951467944877,0.00861400637436472,0.0187822400504437,0.0202180438264981,0.00979959821647312,0.0164791936890004,0.0110811137526695
Non-Classical Mono,2.88728938328153,5.28500385052145,2.22831630963263,4.53729894034703,4.95745058062229,1.49302560747108,2.01349930983829,4.84972677595628,4.17050138049698,5.01234417385474,6.94164844236535,7.67370741768011,7.15669216375037,2.53265934431686,3.03802660104295,2.64229647271036,9.60687983856519,10.0940044948165,2.39761914742004,3.11232340187439,3.83953760407349,4.07530694454495,4.34099350993918,5.33621101877819,7.94262886311935,2.50150528217199,1.88232308277992,3.63349915024004,2.26961777593045,5.72215350866958,4.09019402202412,6.46567469498088,5.1794967073347,4.26726558113419,2.50886465511474,5.20684246642486,5.43729329623602,2.11601171066099,4.76529160739687,7.97023456057007,8.55184578206161,0.625247328848437,6.19573373351913,4.019270938616,5.35277963976042,2.06082614616432,4.34725083637326,1.3647143048906,3.31070357961559,1.87410137334942,0.434176332636116,8.71948811122522,2.68348482037965,1.40956876206823,24.4771169577714,20.8175153158582,21.5772910110252,9.71839424805273,7.79321462412168,7.29824184817242,10.3244218417083,7.57937674555343,4.93153160815667,9.74634323246162
pDC,0.838377228856535,0.404631067834441,0.177523415868474,0.542491662093131,0.2072068079071,2.02688635755287,0.705357934326997,1.71976908161467,0.621223640510584,0.498338870431894,1.60180746448072,0.924543062371097,0.298742654541873,1.33965718089532,1.31686881115603,1.62060850326236,0.413016624390612,0.410816558323868,0.500202596023529,0.630857462582179,1.48856625151953,0.0964855151120438,0.78166455773705,0.321801051992194,0.678299950063807,0.913022059226011,0.788883718962819,0.641351676570195,0.49531528723091,0.317378824298149,1.67802831672784,0.311716143486837,0.964059371193823,3.44701315821595,1.60567337927343,1.88069797078718,1.19166360438868,0.844976554875872,0.779727095516569,0.72186757719715,1.3360739979445,0.57182429758607,0.979740593847143,0.904588639579543,1.19034748199883,0.581025873808443,0.799516132080821,0.114844810356914,1.76776582613296,0.780049248872069,0.91589021994042,0.587724148826922,0.587398751004761,0.862475863548595,0.902056157417643,0.668876167520338,0.322002459306809,0.772917914919113,0.697734516323542,0.558100847213185,0.500785393240952,0.604512714978686,0.288651683004104,1.13128097674981
preDC/Classical Mono,33.4410273188287,16.2609478809079,48.8851794443782,20.6875079157344,45.7395177732471,20.7090384558189,48.7862018311447,17.8796492155826,19.4970189268137,11.9022219512939,21.4781235969702,25.3282127871417,17.7193788779095,21.2046513562989,32.2610886506123,47.7854032496724,18.1689596318683,28.1288514052343,11.3300079641195,9.11176388306057,31.0741072042937,47.2754902670237,30.1155149189763,65.2002533052458,57.9329190478833,36.7190322404072,33.7781819719978,28.024711267693,48.430058364074,25.6575109098971,55.7303501718814,43.2311326498307,56.664808736401,24.6441910992847,38.0049508262528,27.7757082638957,25.8425639141162,35.3819056006474,15.4206838417365,32.5638361045131,37.8426988139218,34.4143252869015,35.0091113731375,54.9289131460144,27.8385625013514,42.9747314268422,22.3656604986108,47.9603859978821,20.2756715452889,56.5717496570758,13.9031501552893,49.6800695157595,21.4153218326841,39.5086891225059,12.6973247844351,13.5743697900974,23.8438131760489,28.7956860395446,49.2487355869215,27.3630405763465,16.3019642607195,20.8131216620119,30.2254991600927,20.3086593867107
Tc,6.45345983968592,18.4041872789213,5.96823125736921,18.7824545109132,12.5930768548888,8.1863605270202,5.54155533324047,26.3099330160409,27.1627786002961,19.3879728123381,30.0013034599621,10.0960102410924,34.8051606972851,17.0754285238808,15.6998886740493,11.0229562717549,17.6107271167102,15.4998670887605,12.6531695798578,13.1221149811162,10.4062019771096,14.8792724992161,11.6208824849994,2.63902710107655,4.05454141929756,11.7893699709891,14.6694302271477,18.9415836548362,11.6078696247034,25.7683601316189,2.24319757618132,5.06295204929012,3.16673891951033,32.3767790445036,28.0283668963672,13.0585236741496,15.2724552469946,20.2199319258325,24.8300932511459,5.15513657957245,10.3649898613927,7.14285714285714,13.1954121556437,8.96166026548076,13.2819426124938,11.1015282190952,10.1933581567656,7.67819589243367,7.72644448363017,4.75631724206316,13.1013500665526,5.99415435658425,13.5905521548259,8.3823213902596,28.5651116515587,31.6360349502862,26.976303119985,9.09826243259437,6.62663204656486,16.4049450954876,23.4124947510848,8.93784604831202,8.03546747751387,5.50429141314422
Th,29.445444135449,40.5544750890841,26.9795848071751,40.829357875628,23.9229678220016,54.3214466287958,32.6440158547241,34.7942005993302,37.2414069064863,43.2579475144015,24.1516648080293,48.5470450181353,23.6400643445717,44.3116575137294,36.2102302689401,26.2496300784938,35.1752491772671,32.8435755539982,63.4628550669964,65.1126031612813,35.6177893988394,27.0171503003112,40.1383729948161,10.6233118368507,14.2748155135105,37.2762603317095,39.7466266232393,40.4671818982521,31.8326665627544,34.9081701710578,14.6361358736818,28.2979811509144,22.7740963233624,19.3491687620536,15.9617314511273,37.7262033134006,38.6949446165153,27.8770856639612,38.2724830093251,30.4019447743468,25.4256826199272,43.3201424614167,32.1749383642405,22.5338589043865,37.187277012563,33.567862006355,49.9574725461659,34.2938535654093,51.7618879680245,24.1798740683204,63.719338277239,19.4802117070859,55.12582699561,44.0334692126153,19.630776033606,20.449934719293,18.8439173839645,27.553924505692,18.4228984900877,29.7181993198146,33.2353535824818,45.0303787544711,40.9470752089136,36.7359068380546
