cytokine,unit,lower_limit,upper_limit
sCD40L,pg/ml,60.216,201739.11
EGF,pg/ml,16.002,45670.093
Eoxtaxin,pg/ml,2.73,10139.886
FGF2,pg/ml,27.795,75633.999
FLT-3L,pg/ml,0.951,3002.552
Fractalkine,pg/ml,160.459,362633.459
GCSF,pg/ml,23.622,75219.512
GMCSF,pg/ml,9.365,41534.178
GROa,pg/ml,0.973,4243.876
IFNa2,pg/ml,50.43,24997.336
IFNg,pg/ml,1.52,19957.185
IL-1a,pg/ml,154.916,16030.673
IL-1b,pg/ml,1.595,25090.359
IL-1Ra,pg/ml,1.563,25023.094
IL-2,pg/ml,0.653,9935.882
IL-3,pg/ml,1.267,20209.391
IL-4,pg/ml,0.611,9996.467
IL-5,pg/ml,0.624,10028.4
IL-6,pg/ml,0.612,9982.259
IL-7,pg/ml,0.609,10061.78
IL-8,pg/ml,0.668,9563.316
IL-9,pg/ml,2.994,1999.237
IL-10,pg/ml,2.499,39691.949
Il-12(p40),pg/ml,6.146,99981.679
IL-12(p70),pg/ml,3.084,50151.777
IL-13,pg/ml,30.443,107902.74
IL-15,pg/ml,3.142,49500.301
Il-17A,pg/ml,1.071,20316.48
IL-17E/IL-25,pg/ml,182.335,626054.396
IL-17F,pg/ml,32.382,435117.713
IL-18,pg/ml,0.652,9919.168
IL-22,pg/ml,66.098,7972.85
IL-27,pg/ml,81.167,202032.084
IP-10,pg/ml,13.448,8352.499
MCP-1,pg/ml,2.366,10155.927
MCP-3,pg/ml,7.849,92926.489
MCSF,pg/ml,40.472,516968.752
MDC,pg/ml,0.543,9706.184
MIG,pg/ml,6.783,99999.637
MIP-1a,pg/ml,2.666,10002.34
MIP-1b,pg/ml,2.031,1206.847
PDGF-AA,pg/ml,12.407,201245.27
PDGF-AB/BB,pg/ml,267.566,152374.891
RANTES,pg/ml,6.307,3995.983
TGFa,pg/ml,1.171,4432.56
TNFa,pg/ml,6.294,104433.334
TNFb,pg/ml,1.472,24959.81
VEGF-A,pg/ml,2.566,39842.477
